Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;30,00;30,10;30,00;30,00;"12/04/2022 16:07";CET;19561;586869,70
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;23,10;23,50;22,49;22,95;"12/04/2022 16:25";CET;853036;19551643,10
"AKER CLEAN HYDROGE";NO0010936081;ACH;"Euronext Growth Oslo";NOK;5,20;5,20;4,882;4,974;"12/04/2022 16:25";CET;1002055;5054825,08
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;23,25;23,40;22,20;22,90;"12/04/2022 16:25";CET;816451;18453512,95
"AKER OFFSHORE WIND";NO0010890312;AOW;"Euronext Growth Oslo";NOK;2,814;2,904;2,694;2,768;"12/04/2022 16:25";CET;3653372;10100411,858
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;31,50;32,82;31,50;32,80;"12/04/2022 16:27";CET;585901;18941246,04
"AKKA TECHNOLOGIES";FR0004180537;AKA;"Euronext Paris, Brussels";EUR;48,90;48,90;47,35;47,45;"12/04/2022 17:35";CET;19684;957875,65
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;7,86;7,86;7,34;7,34;"12/04/2022 15:58";CET;40939;310181,74
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;82,20;83,00;82,20;83,00;"12/04/2022 16:00";CET;1028;85304,00
AKWEL;FR0000053027;AKW;"Euronext Paris";EUR;18,48;18,48;17,20;17,78;"12/04/2022 17:35";CET;4691;82262,74
"AKZO NOBEL";NL0013267909;AKZA;"Euronext Amsterdam";EUR;76,00;77,28;75,60;77,06;"12/04/2022 17:35";CET;461052;35381647,90
"ALAN ALLMAN";FR0000062465;AAA;"Euronext Paris";EUR;16,00;16,00;14,90;15,95;"12/04/2022 17:09";CET;527;8187,65
ALBIOMA;FR0000060402;ABIO;"Euronext Paris";EUR;42,96;42,96;42,02;42,90;"12/04/2022 17:35";CET;71579;3043725,06
"ALBIOMA BSAAR 2018";FR0013368438;ABIBS;"Euronext Growth Paris";EUR;23,90;23,90;23,90;23,90;"05/04/2022 10:38";CET;96;2294,40
ALCHIMIE;FR0014000JX7;ALCHI;"Euronext Growth Paris";EUR;2,90;3,01;2,87;3,01;"12/04/2022 16:13";CET;3460;10211,08
ALD;FR0013258662;ALD;"Euronext Paris";EUR;11,68;11,88;11,56;11,88;"12/04/2022 17:35";CET;83165;981106,60
"ALEPH FINANCE";GB00BJ9M4V82;MLALE;"Euronext Access Paris";EUR;2,90;2,90;2,90;2,90;"26/01/2022 11:30";CET;3;8,70
ALFEN;NL0012817175;ALFEN;"Euronext Amsterdam";EUR;85,50;85,50;83,04;85,22;"12/04/2022 17:36";CET;124626;10540480,62
ALIAXIS;BE0941243520;-;"Euronext Expert Market";EUR;36,00;36,00;36,00;36,00;"12/04/2022 11:30";CET;4286;154296,00
"ALLFUNDS GROUP";GB00BNTJ3546;ALLFG;"Euronext Amsterdam";EUR;8,95;8,95;8,705;8,90;"12/04/2022 17:35";CET;489789;4336062,56
"ALME INVEST";BE0146350740;-;"Euronext Expert Market";EUR;89,91;89,91;89,91;89,91;"11/05/2021 11:30";CET;975;87662,25
"ALMUNDA PRO NV";NL0010696704;AMUND;"Euronext Amsterdam";EUR;1,33;1,33;1,33;1,33;"12/04/2022 12:51";CET;30;39,90
"ALPES (COMPAGNIE)";FR0000053324;CDA;"Euronext Paris";EUR;12,80;12,80;12,50;12,62;"12/04/2022 17:36";CET;7859;99070,50
"ALPHA MOS";FR0013421286;ALNEO;"Euronext Growth Paris";EUR;2,27;3,005;2,26;2,81;"12/04/2022 17:37";CET;103124;286384,885
ALSTOM;FR0010220475;ALO;"Euronext Paris";EUR;20,32;20,76;20,18;20,72;"12/04/2022 17:35";CET;1104363;22699035,57
ALTAMIR;FR0000053837;LTA;"Euronext Paris";EUR;26,21;26,395;26,10;26,275;"12/04/2022 17:35";CET;2073;54254,22
ALTAREA;FR0000033219;ALTA;"Euronext Paris";EUR;149,00;149,00;146,00;148,60;"12/04/2022 17:35";CET;3657;540715,40
ALTAREIT;FR0000039216;AREIT;"Euronext Paris";EUR;645,00;645,00;645,00;645,00;"12/04/2022 09:00";CET;1;645,00
ALTEN;FR0000071946;ATE;"Euronext Paris";EUR;126,90;129,20;125,50;127,20;"12/04/2022 17:35";CET;44137;5615400,50
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;26,40;26,50;26,00;26,00;"12/04/2022 14:17";CET;2390;63179,50
ALTHEORA;FR0000061244;ALORA;"Euronext Growth Paris";EUR;1,735;1,74;1,735;1,74;"12/04/2022 12:28";CET;101;175,735
"ALTRI SGPS";PTALT0AE0002;ALTR;"Euronext Lisbon";EUR;6,65;6,82;6,635;6,765;"12/04/2022 21:35";BST;1297421;8741541,49
"ALTUR INVEST.";FR0010395681;ALTUR;"Euronext Paris";EUR;6,74;6,76;6,74;6,76;"12/04/2022 15:20";CET;16;108,14
"ALUMEXX N.V.";NL0012194724;ALX;"Euronext Amsterdam";EUR;0,822;0,858;0,822;0,822;"12/04/2022 16:43";CET;4116;3435,172
ALVEEN;FR0013253812;MLALV;"Euronext Access Paris";EUR;0,50;0,50;0,50;0,50;"24/03/2022 16:30";CET;11;5,50
"AMA CORPORATION";GB00BNKGZC51;ALAMA;"Euronext Growth Paris";EUR;1,44;1,465;1,405;1,415;"12/04/2022 16:08";CET;2438;3495,29
"AMATHEON AGRI";NL0010273694;MLAAH;"Euronext Access Paris";EUR;0,08;0,08;0,08;0,08;"12/04/2022 11:30";CET;4000;320,00
"AMERICAN SHIPPING";NO0010272065;AMSC;"Oslo Børs";NOK;32,50;32,70;32,45;32,50;"12/04/2022 16:25";CET;20436;663892,70
AMG;NL0000888691;AMG;"Euronext Amsterdam";EUR;39,10;39,72;38,32;39,72;"12/04/2022 17:35";CET;187141;7344659,86
AMOEBA;FR0011051598;ALMIB;"Euronext Growth Paris";EUR;0,67;0,70;0,67;0,70;"12/04/2022 17:35";CET;84618;58046,202
"AMPLITUDE SURGICAL";FR0012789667;AMPLI;"Euronext Paris";EUR;2,71;2,71;2,66;2,66;"12/04/2022 13:17";CET;402;1081,37
"AMSTERDAM COMMOD.";NL0000313286;ACOMO;"Euronext Amsterdam";EUR;24,90;24,90;24,40;24,50;"12/04/2022 17:35";CET;7204;176834,95
AMUNDI;FR0004125920;AMUN;"Euronext Paris";EUR;59,00;59,50;58,00;59,45;"12/04/2022 17:37";CET;152024;9007317,05
"ANDFJORD SALMON";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;38,40;39,00;38,40;39,00;"12/04/2022 16:19";CET;13862;540197,70
"ANS ROCOUR";BE0003243426;-;"Euronext Expert Market";EUR;89,30;89,30;89,30;89,30;"21/02/2017 11:30";CET;31;2768,30
"ANTARES CERT";BE0003676872;ANT;"Euronext Brussels";EUR;6,41;6,41;6,41;6,41;"07/04/2022 16:30";CET;7;44,87
"ANTIN INFRA PARTN";FR0014005AL0;ANTIN;"Euronext Paris";EUR;27,86;28,08;27,10;28,00;"12/04/2022 17:36";CET;46618;1291480,14
APERAM;LU0569974404;APAM;"Euronext Amsterdam, Brussels, Paris";EUR;36,10;36,54;35,70;36,51;"12/04/2022 17:39";CET;415922;15121225,81
"APTORUM GROUP CL A";KYG6096M1069;APM;"Euronext Paris";EUR;2,70;2,70;2,70;2,70;"15/01/2021 13:35";CET;426;1150,20
"AQUA BIO TECHNO";NO0010307135;ABT;"Euronext Expand Oslo";NOK;12,60;12,60;12,00;12,12;"12/04/2022 15:42";CET;17516;212136,94
"AQUALISBRAEMAR LOC";NO0010715394;AQUA;"Oslo Børs";NOK;13,90;13,95;13,30;13,60;"12/04/2022 16:00";CET;87456;1195379,90
AQUILA;FR0010340711;ALAQU;"Euronext Growth Paris";EUR;5,80;5,80;5,80;5,80;"12/04/2022 16:30";CET;140;812,00
"ARAMIS GROUP";FR0014003U94;ARAMI;"Euronext Paris";EUR;6,23;6,28;6,125;6,24;"12/04/2022 17:35";CET;87809;544129,94
ARCADIS;NL0006237562;ARCAD;"Euronext Amsterdam";EUR;38,40;39,12;38,14;39,12;"12/04/2022 17:35";CET;249884;9746334,56
"ARCELOR MITT LUX";LU0006047129;-;"Euronext Expert Market";EUR;-;-;-;-;-;CET;-;-
"ARCELORMITT SCHIFF";LU0006067663;-;"Euronext Expert Market";EUR;1,11;1,11;1,11;1,11;"16/11/2021 11:30";CET;37;41,07
"ARCELORMITTAL SA";LU1598757687;MT;"Euronext Amsterdam, Paris";EUR;28,325;29,365;28,22;29,28;"12/04/2022 17:37";CET;4649708;135043901,75
ARCHER;BMG0451H1170;ARCH;"Oslo Børs";NOK;3,12;3,30;3,02;3,30;"12/04/2022 16:27";CET;383464;1211520,855
ARCHOS;FR0014007XT1;ALJXR;"Euronext Growth Paris";EUR;1,5798;1,5798;1,37;1,4794;"12/04/2022 17:35";CET;44937;64946,5982
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;16,00;17,50;16,00;16,50;"12/04/2022 16:25";CET;22512;381080,60
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;89,80;89,80;79,00;84,00;"12/04/2022 16:17";CET;1953;160803,40
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;75,90;76,70;74,00;76,10;"12/04/2022 16:25";CET;28406;2131066,55
ARCURE;FR0013398997;ALCUR;"Euronext Growth Paris";EUR;3,44;3,44;3,44;3,44;"12/04/2022 15:47";CET;68;233,92
"ARDOIN ST AMAND A";FR0005057635;MLARD;"Euronext Access Paris";EUR;163,00;163,00;163,00;163,00;"09/03/2022 11:39";CET;35;5705,00
"ARDOIN ST AMAND B";FR0004070795;ARDO;"Euronext Access Paris";EUR;72,00;72,00;72,00;72,00;"03/08/2020 16:30";CET;2;144,00
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;376,00;386,00;374,00;382,00;"12/04/2022 16:28";CET;9729;3690926,00
ARGAN;FR0010481960;ARG;"Euronext Paris";EUR;120,40;121,80;119,60;120,20;"12/04/2022 17:36";CET;8405;1014082,60
"ARGENX SE";NL0010832176;ARGX;"Euronext Brussels";EUR;293,20;301,10;293,00;300,00;"12/04/2022 17:35";CET;54877;16418001,30
ARGEO;NO0010946593;ARGEO;"Euronext Growth Oslo";NOK;5,10;5,20;5,10;5,20;"12/04/2022 13:36";CET;82289;422260,20
"ARIMELIA ITG";ES0105601001;MLARI;"Euronext Access Paris";EUR;2,97;2,97;2,97;2,97;"17/09/2021 00:00";CET;-;-
ARKEMA;FR0010313833;AKE;"Euronext Paris";EUR;105,30;107,60;103,60;107,25;"12/04/2022 17:35";CET;126268;13455322,00
"ARKIMEDES FONDS";BE0945331669;-;"Euronext Expert Market";EUR;5,80;5,80;5,80;5,80;"15/03/2022 11:30";CET;20;116,00
ARMA;BE0051300847;-;"Euronext Expert Market";EUR;-;-;-;-;-;CET;-;-
"AROCA DEL PINAR";ES0105486007;MLARO;"Euronext Access Paris";EUR;-;-;-;-;-;CET;-;-
"ARRIBATEC GROUP";NO0003108102;ARR;"Oslo Børs";NOK;0,579;0,624;0,56;0,60;"12/04/2022 16:29";CET;3365030;2018818,095
ARTEA;FR0012185536;ARTE;"Euronext Paris";EUR;19,00;19,00;19,00;19,00;"12/04/2022 09:00";CET;73;1387,00
"ARTMARKET COM";FR0000074783;PRC;"Euronext Paris";EUR;7,60;7,87;7,42;7,66;"12/04/2022 17:35";CET;21351;162634,27
"ARTOIS NOM.";FR0000076952;ARTO;"Euronext Paris";EUR;5000,00;5000,00;5000,00;5000,00;"11/04/2022 11:30";CET;3;15000,00
ASCENCIO;BE0003856730;ASC;"Euronext Brussels";EUR;51,70;51,80;51,00;51,60;"12/04/2022 17:35";CET;3693;190158,50
ASETEK;DK0060477263;ASTK;"Oslo Børs";NOK;33,25;33,65;32,60;33,00;"12/04/2022 16:25";CET;24150;800827,35
"ASHLER ET MANSON";FR0012968485;MLAEM;"Euronext Access Paris";EUR;2,40;2,40;2,40;2,40;"12/04/2022 11:30";CET;20;48,00
"ASM INTERNATIONAL";NL0000334118;ASM;"Euronext Amsterdam";EUR;289,40;303,30;285,30;297,95;"12/04/2022 17:35";CET;282588;83655871,95
"ASML HOLDING";NL0010273215;ASML;"Euronext Amsterdam";EUR;547,80;571,90;542,60;560,40;"12/04/2022 17:39";CET;837550;468606421,40
"ASR NEDERLAND";NL0011872643;ASRNL;"Euronext Amsterdam";EUR;43,54;44,29;43,33;43,96;"12/04/2022 17:35";CET;676025;29723505,46
ASSICURAZ.GEN.ORD.;IT0000062072;GEN;"Traded not listed Brussels";EUR;19,20;19,20;18,92;18,92;"12/04/2022 09:25";CET;380;7268,00
ASSYSTEM;FR0000074148;ASY;"Euronext Paris";EUR;42,30;42,30;41,60;42,00;"12/04/2022 17:35";CET;1733;72358,10
ASTROCAST;CH1122548808;ASTRO;"Euronext Growth Oslo";NOK;8,98;9,66;8,50;8,98;"12/04/2022 16:19";CET;53291;471652,46
ATARI;FR0010478248;ATA;"Euronext Paris";EUR;0,1858;0,1918;0,1823;0,1876;"12/04/2022 17:35";CET;1284060;240461,8763
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;124,00;125,00;123,20;124,80;"12/04/2022 16:25";CET;44859;5576768,60
ATEME;FR0011992700;ATEME;"Euronext Paris";EUR;13,00;13,10;12,70;12,88;"12/04/2022 17:35";CET;6107;79240,46
ATENOR;BE0003837540;ATEB;"Euronext Brussels";EUR;60,60;60,60;60,00;60,20;"12/04/2022 17:35";CET;241;14539,20
"ATLANTIC SAPPHIRE";NO0010768500;ASA;"Oslo Børs";NOK;32,92;33,00;30,90;31,50;"12/04/2022 16:25";CET;85116;2705664,34
ATOS;FR0000051732;ATO;"Euronext Paris";EUR;21,48;22,08;21,31;21,96;"12/04/2022 17:35";CET;675143;14696614,49
AUBAY;FR0000063737;AUB;"Euronext Paris";EUR;55,00;55,30;54,30;54,60;"12/04/2022 17:35";CET;5997;327632,90
AUDACIA;FR00140059B5;ALAUD;"Euronext Growth Paris";EUR;5,96;5,96;5,92;5,92;"12/04/2022 11:30";CET;51;301,98
"AUDIENCE LABS";FR0011896463;MLAUD;"Euronext Access Paris";EUR;4,94;4,94;4,94;4,94;"21/03/2022 11:30";CET;5;24,70
AUDIOVALLEY;BE0974334667;ALAVY;"Euronext Growth Paris, Brussels";EUR;2,31;2,31;2,10;2,14;"12/04/2022 17:35";CET;15812;34364,70
"AUGROS COSMETICS";FR0000061780;AUGR;"Euronext Paris";EUR;3,80;3,80;3,80;3,80;"11/04/2022 11:43";CET;60;228,00
"AUPLATA MINING GR";FR0013410370;ALAMG;"Euronext Growth Paris";EUR;0,0253;0,0368;0,0253;0,0368;"12/04/2022 17:37";CET;284077657;8990322,9226
AUREA;FR0000039232;AURE;"Euronext Paris";EUR;10,70;10,70;9,88;10,35;"12/04/2022 17:35";CET;15025;155152,50
